sep=|
Open?|Time|Days of Week|Location|Dates|CRN|Subject|Course #|Section|Campus|Credits|Course Title|Seats Remaining|Waitlist Actual|Waitlist Remaining|Instructor(s)|
false|9:00 am - 11:30 am|W|LAVELLE HALL 104|Jan 22, 2014 - May 13, 2014|11465|ACC|639|0|S|3.000|GOVERNMENT & NON-ROFIT|33|0|0|Adrian P.  Fitzsimons (P)|
false|6:00 pm - 8:30 pm|M|MURRAY HALL 319|Jan 22, 2014 - May 13, 2014|11495|ACC|639|0|M|3.000|GOVERNMENT & NON-ROFIT|9|0|0|Benjamin Rue  Silliman (P)|
false|7:10 pm - 9:40 pm|R|ST. JOHN HALL 308|Jan 22, 2014 - May 13, 2014|16385|ACC|640|0|Q|3.000|SEC  RACTICE|22|0|0|Herbert M.  Chain (P)|
false|7:10 pm - 9:40 pm|M|ST. JOHN HALL 314|Jan 22, 2014 - May 13, 2014|12023|ACC|642|0|Q|3.000|ACC INFO:CONTROLS & ASSESSMENT|25|0|0|Chris   Wardak (P)|
false|3:30 pm - 6:00 pm|W|ST. JOHN HALL 113|Jan 22, 2014 - May 13, 2014|15444|ACC|643|0|Q|3.000|ACC INFO: SECURITY&FORENSICS|6|0|0|Jay   Ranade (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|12660|ACC|646|0|D|3.000|ANALYSIS FOREIGN FIN'L STATEME|2|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|7:10 pm - 9:40 pm|R|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|16291|ACC|660|0|Q|3.000|FRAUD EXAMINATION I|24|0|0|John J.  Lynch (P)|
false|TBA| |TBA|Jan 22, 2014 - May 13, 2014|10161|ACC|925|0|Q|0.000|MAINTAINING MATRICULATION|29|0|0|TBA|
false|TBA| |TBA|Jan 22, 2014 - May 13, 2014|10198|ACC|925|0|S|0.000|MAINTAINING MATRICULATION|10|0|0|TBA|
false|TBA| |TBA|May 20, 2014 - May 27, 2014|16290|ACC|ROME|R1|A|0.000|ACCOUNTING: ROME/FLORENCE|0|0|0|Joseph E  Trainor (P)|
false|||||12495|ACTV|1000|-|Q|1.000~4.000|ABI LAW REVIEW|0|0|0|TBA|TBA|
